Distributor,Year,Percentage
DC,1935,0.000
DC,1936,20.000
DC,1937,21.429
DC,1938,16.667
DC,1939,21.429
DC,1940,19.231
DC,1941,16.970
DC,1942,15.207
DC,1943,14.286
DC,1944,14.634
DC,1945,14.229
DC,1946,14.122
DC,1947,14.894
DC,1948,15.282
DC,1949,14.984
DC,1950,14.557
DC,1951,14.329
DC,1952,14.114
DC,1953,14.072
DC,1954,13.783
DC,1955,13.881
DC,1956,13.934
DC,1957,14.021
DC,1958,13.995
DC,1959,14.520
DC,1960,14.163
DC,1961,14.147
DC,1962,14.029
DC,1963,14.094
DC,1964,14.400
DC,1965,14.519
DC,1966,14.830
DC,1967,14.956
DC,1968,16.137
DC,1969,16.858
DC,1970,16.685
DC,1971,16.320
DC,1972,17.140
DC,1973,17.195
DC,1974,16.935
DC,1975,16.606
DC,1976,17.003
DC,1977,17.184
DC,1978,17.957
DC,1979,17.863
DC,1980,18.134
DC,1981,18.828
DC,1982,19.520
DC,1983,20.824
DC,1984,21.436
DC,1985,22.228
DC,1986,22.629
DC,1987,23.916
DC,1988,24.694
DC,1989,26.045
DC,1990,26.297
DC,1991,26.688
DC,1992,26.518
DC,1993,26.571
DC,1994,26.848
DC,1995,26.712
DC,1996,27.003
DC,1997,27.008
DC,1998,27.175
DC,1999,27.453
DC,2000,27.559
DC,2001,27.877
DC,2002,28.078
DC,2003,28.138
DC,2004,28.182
DC,2005,28.358
DC,2006,28.576
DC,2007,28.674
DC,2008,28.916
DC,2009,29.004
DC,2010,28.925
DC,2011,29.043
DC,2012,29.051
DC,2013,29.047
Marvel,1939,0.000
Marvel,1940,11.702
Marvel,1941,10.063
Marvel,1942,8.720
Marvel,1943,8.315
Marvel,1944,8.406
Marvel,1945,8.746
Marvel,1946,9.083
Marvel,1947,9.590
Marvel,1948,9.815
Marvel,1949,9.823
Marvel,1950,9.833
Marvel,1951,10.084
Marvel,1952,10.242
Marvel,1953,10.634
Marvel,1954,11.283
Marvel,1955,11.240
Marvel,1956,11.207
Marvel,1957,11.162
Marvel,1958,11.206
Marvel,1959,11.181
Marvel,1960,11.055
Marvel,1961,10.873
Marvel,1962,10.987
Marvel,1963,11.262
Marvel,1964,11.438
Marvel,1965,11.581
Marvel,1966,11.747
Marvel,1967,11.621
Marvel,1968,11.727
Marvel,1969,11.863
Marvel,1970,11.933
Marvel,1971,12.024
Marvel,1972,12.414
Marvel,1973,13.009
Marvel,1974,13.536
Marvel,1975,14.240
Marvel,1976,14.582
Marvel,1977,14.900
Marvel,1978,15.010
Marvel,1979,15.592
Marvel,1980,15.998
Marvel,1981,16.430
Marvel,1982,16.754
Marvel,1983,17.326
Marvel,1984,17.744
Marvel,1985,18.160
Marvel,1986,18.518
Marvel,1987,18.707
Marvel,1988,19.071
Marvel,1989,19.238
Marvel,1990,19.597
Marvel,1991,19.953
Marvel,1992,20.317
Marvel,1993,20.510
Marvel,1994,20.744
Marvel,1995,20.937
Marvel,1996,21.331
Marvel,1997,21.624
Marvel,1998,21.795
Marvel,1999,22.019
Marvel,2000,22.190
Marvel,2001,22.400
Marvel,2002,22.555
Marvel,2003,22.778
Marvel,2004,23.147
Marvel,2005,23.444
Marvel,2006,23.595
Marvel,2007,23.695
Marvel,2008,23.836
Marvel,2009,23.960
Marvel,2010,24.213
Marvel,2011,24.337
Marvel,2012,24.394
Marvel,2013,24.502
